#
# National Water Information System
# 2013/12/18
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	group	parm_nm	CASRN	SRSName	parm_unit
34372	Organics, Other	Ethylbenzene, water, filtered, recoverable, micrograms per liter	100-41-4	Ethylbenzene	ug/l
34373	Organics, Other	Ethylbenzene, suspended sediment, recoverable, micrograms per liter	100-41-4	Ethylbenzene	ug/l
34374	Organics, Other	Ethylbenzene, bed sediment, recoverable, dry weight, micrograms per kilogram	100-41-4	Ethylbenzene	ug/kg
34376	Organics, Other	Fluoranthene, water, unfiltered, recoverable, micrograms per liter	206-44-0	Fluoranthene	ug/l
34377	Organics, Other	Fluoranthene, water, filtered, recoverable, micrograms per liter	206-44-0	Fluoranthene	ug/l
34378	Organics, Other	Fluoranthene, suspended sediment, recoverable, micrograms per liter	206-44-0	Fluoranthene	ug/l
34379	Organics, Other	Fluoranthene, bed sediment, recoverable, dry weight, micrograms per kilogram	206-44-0	Fluoranthene	ug/kg
34381	Organics, Other	9H-Fluorene, water, unfiltered, recoverable, micrograms per liter	86-73-7	Fluorene	ug/l
34382	Organics, Other	9H-Fluorene, water, filtered, recoverable, micrograms per liter	86-73-7	Fluorene	ug/l
34383	Organics, Other	9H-Fluorene, suspended sediment, recoverable, micrograms per liter	86-73-7	Fluorene	ug/l
34384	Organics, Other	9H-Fluorene, bed sediment, recoverable, dry weight, micrograms per kilogram	86-73-7	Fluorene	ug/kg
34386	Organics, Other	Hexachlorocyclopentadiene, water, unfiltered, recoverable, micrograms per liter	77-47-4	Hexachlorocyclopentadiene	ug/l
34387	Organics, Other	Hexachlorocyclopentadiene, water, filtered, recoverable, micrograms per liter	77-47-4	Hexachlorocyclopentadiene	ug/l
34388	Organics, Other	Hexachlorocyclopentadiene, suspended sediment, recoverable, micrograms per liter	77-47-4	Hexachlorocyclopentadiene	ug/l
34389	Organics, Other	Hexachlorocyclopentadiene, bed sediment, recoverable, dry weight, micrograms per kilogram	77-47-4	Hexachlorocyclopentadiene	ug/kg
34391	Organics, Other	Hexachlorobutadiene, water, unfiltered, recoverable, micrograms per liter	87-68-3	Hexachlorobutadiene	ug/l
34392	Organics, Other	Hexachlorobutadiene, water, filtered, recoverable, micrograms per liter	87-68-3	Hexachlorobutadiene	ug/l
34393	Organics, Other	Hexachlorobutadiene, suspended sediment, recoverable, micrograms per liter	87-68-3	Hexachlorobutadiene	ug/l
34396	Organics, Other	Hexachloroethane, water, unfiltered, recoverable, micrograms per liter	67-72-1	Hexachloroethane	ug/l
34397	Organics, Other	Hexachloroethane, water, filtered, recoverable, micrograms per liter	67-72-1	Hexachloroethane	ug/l
34398	Organics, Other	Hexachloroethane, suspended sediment, recoverable, micrograms per liter	67-72-1	Hexachloroethane	ug/l
34399	Organics, Other	Hexachloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram	67-72-1	Hexachloroethane	ug/kg
34401	Organics, Pesticide	Hexachlorobenzene, water, filtered, recoverable, micrograms per liter	118-74-1	Hexachlorobenzene	ug/l
34402	Organics, Pesticide	Hexachlorobenzene, suspended sediment, recoverable, micrograms per liter	118-74-1	Hexachlorobenzene	ug/l
34403	Organics, Other	Indeno[1,2,3-cd]pyrene, water, unfiltered, recoverable, micrograms per liter	193-39-5	Indeno[1,2,3-cd]pyrene	ug/l
34404	Organics, Other	Indeno[1,2,3-cd]pyrene, water, filtered, recoverable, micrograms per liter	193-39-5	Indeno[1,2,3-cd]pyrene	ug/l
34405	Organics, Other	Indeno[1,2,3-cd]pyrene, suspended sediment, recoverable, micrograms per liter	193-39-5	Indeno[1,2,3-cd]pyrene	ug/l
34406	Organics, Other	Indeno[1,2,3-cd]pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram	193-39-5	Indeno[1,2,3-cd]pyrene	ug/kg
34408	Organics, Other	Isophorone, water, unfiltered, recoverable, micrograms per liter	78-59-1	Isophorone	ug/l
34409	Organics, Other	Isophorone, water, filtered, recoverable, micrograms per liter	78-59-1	Isophorone	ug/l
34410	Organics, Other	Isophorone, suspended sediment, recoverable, micrograms per liter	78-59-1	Isophorone	ug/l
34411	Organics, Other	Isophorone, bed sediment, recoverable, dry weight, micrograms per kilogram	78-59-1	Isophorone	ug/kg
34413	Organics, Pesticide	Bromomethane, water, unfiltered, recoverable, micrograms per liter	74-83-9	Methyl bromide	ug/l
34414	Organics, Pesticide	Bromomethane, water, filtered, recoverable, micrograms per liter	74-83-9	Methyl bromide	ug/l
34415	Organics, Pesticide	Bromomethane, suspended sediment, recoverable, micrograms per liter	74-83-9	Methyl bromide	ug/l
34416	Organics, Pesticide	Bromomethane, bed sediment, recoverable, dry weight, micrograms per kilogram	74-83-9	Methyl bromide	ug/kg
34418	Organics, Other	Chloromethane, water, unfiltered, recoverable, micrograms per liter	74-87-3	Chloromethane	ug/l
34419	Organics, Other	Chloromethane, water, filtered, recoverable, micrograms per liter	74-87-3	Chloromethane	ug/l
34420	Organics, Other	Chloromethane, suspended sediment, recoverable, micrograms per liter	74-87-3	Chloromethane	ug/l
34421	Organics, Other	Chloromethane, bed sediment, recoverable, dry weight, micrograms per kilogram	74-87-3	Chloromethane	ug/kg
34423	Organics, Other	Dichloromethane, water, unfiltered, recoverable, micrograms per liter	75-09-2	Methylene chloride	ug/l
34424	Organics, Other	Dichloromethane, water, filtered, recoverable, micrograms per liter	75-09-2	Methylene chloride	ug/l
34425	Organics, Other	Dichloromethane, suspended sediment, recoverable, micrograms per liter	75-09-2	Methylene chloride	ug/l
34426	Organics, Other	Dichloromethane, bed sediment, recoverable, dry weight, micrograms per kilogram	75-09-2	Methylene chloride	ug/kg
34428	Organics, Other	N-Nitrosodi-n-propylamine, water, unfiltered, recoverable, micrograms per liter	621-64-7	N-Nitrosodi-n-propylamine	ug/l
34429	Organics, Other	N-Nitrosodi-n-propylamine, water, filtered, recoverable, micrograms per liter	621-64-7	N-Nitrosodi-n-propylamine	ug/l
34430	Organics, Other	N-Nitrosodi-n-propylamine, suspended sediment, recoverable, micrograms per liter	621-64-7	N-Nitrosodi-n-propylamine	ug/l
34431	Organics, Other	N-Nitrosodi-n-propylamine, bed sediment, recoverable, dry weight, micrograms per kilogram	621-64-7	N-Nitrosodi-n-propylamine	ug/kg
34433	Organics, Other	N-Nitrosodiphenylamine, water, unfiltered, recoverable, micrograms per liter	86-30-6	N-Nitrosodiphenylamine	ug/l
34434	Organics, Other	N-Nitrosodiphenylamine, water, filtered, recoverable, micrograms per liter	86-30-6	N-Nitrosodiphenylamine	ug/l
34435	Organics, Other	N-Nitrosodiphenylamine, suspended sediment, recoverable, micrograms per liter	86-30-6	N-Nitrosodiphenylamine	ug/l
34436	Organics, Other	N-Nitrosodiphenylamine, bed sediment, recoverable, dry weight, micrograms per kilogram	86-30-6	N-Nitrosodiphenylamine	ug/kg
34438	Organics, Other	N-Nitrosodimethylamine, water, unfiltered, recoverable, micrograms per liter	62-75-9	N-Nitrosodimethylamine	ug/l
34439	Organics, Other	N-Nitrosodimethylamine, water, filtered, recoverable, micrograms per liter	62-75-9	N-Nitrosodimethylamine	ug/l
34440	Organics, Other	N-Nitrosodimethylamine, suspended sediment, recoverable, micrograms per liter	62-75-9	N-Nitrosodimethylamine	ug/l
34441	Organics, Other	N-Nitrosodimethylamine, bed sediment, recoverable, dry weight, micrograms per kilogram	62-75-9	N-Nitrosodimethylamine	ug/kg
34443	Organics, Other	Naphthalene, water, filtered, recoverable, micrograms per liter	91-20-3	Naphthalene	ug/l
34444	Organics, Other	Naphthalene, suspended sediment, recoverable, micrograms per liter	91-20-3	Naphthalene	ug/l
34445	Organics, Other	Naphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram	91-20-3	Naphthalene	ug/kg
34447	Organics, Other	Nitrobenzene, water, unfiltered, recoverable, micrograms per liter	98-95-3	Nitrobenzene	ug/l
34448	Organics, Other	Nitrobenzene, water, filtered, recoverable, micrograms per liter	98-95-3	Nitrobenzene	ug/l
34449	Organics, Other	Nitrobenzene, suspended sediment, recoverable, micrograms per liter	98-95-3	Nitrobenzene	ug/l
34450	Organics, Other	Nitrobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram	98-95-3	Nitrobenzene	ug/kg
34452	Organics, Pesticide	4-Chloro-3-methylphenol, water, unfiltered, recoverable, micrograms per liter	59-50-7	p-Chloro-m-cresol	ug/l
34453	Organics, Pesticide	4-Chloro-3-methylphenol, water, filtered, recoverable, micrograms per liter	59-50-7	p-Chloro-m-cresol	ug/l
34454	Organics, Pesticide	4-Chloro-3-methylphenol, suspended sediment, recoverable, micrograms per liter	59-50-7	p-Chloro-m-cresol	ug/l
34455	Organics, Pesticide	4-Chloro-3-methylphenol, bed sediment, recoverable, dry weight, micrograms per kilogram	59-50-7	p-Chloro-m-cresol	ug/kg
34457	Organics, PCBs	Aroclor 1242, water, filtered, recoverable, micrograms per liter	53469-21-9	Aroclor 1242	ug/l
34458	Organics, PCBs	Aroclor 1242, suspended sediment, recoverable, micrograms per liter	53469-21-9	Aroclor 1242	ug/l
34459	Organics, Pesticide	Pentachlorophenol, water, filtered, recoverable, micrograms per liter	87-86-5	Pentachlorophenol	ug/l
34460	Organics, Pesticide	Pentachlorophenol, suspended sediment, recoverable, micrograms per liter	87-86-5	Pentachlorophenol	ug/l
34461	Organics, Other	Phenanthrene, water, unfiltered, recoverable, micrograms per liter	85-01-8	Phenanthrene	ug/l
34462	Organics, Other	Phenanthrene, water, filtered, recoverable, micrograms per liter	85-01-8	Phenanthrene	ug/l
34463	Organics, Other	Phenanthrene, suspended sediment, recoverable, micrograms per liter	85-01-8	Phenanthrene	ug/l
34464	Organics, Other	Phenanthrene, bed sediment, recoverable, dry weight, micrograms per kilogram	85-01-8	Phenanthrene	ug/kg
34466	Organics, Other	Phenol, water, filtered, recoverable, micrograms per liter	108-95-2	Phenol	ug/l
34467	Organics, Other	Phenol, suspended sediment, recoverable, micrograms per liter	108-95-2	Phenol	ug/l
34469	Organics, Other	Pyrene, water, unfiltered, recoverable, micrograms per liter	129-00-0	Pyrene	ug/l
34470	Organics, Other	Pyrene, water, filtered, recoverable, micrograms per liter	129-00-0	Pyrene	ug/l
34471	Organics, Other	Pyrene, suspended sediment, recoverable, micrograms per liter	129-00-0	Pyrene	ug/l
34472	Organics, Other	Pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram	129-00-0	Pyrene	ug/kg
34475	Organics, Other	Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter	127-18-4	Tetrachloroethylene	ug/l
34476	Organics, Other	Tetrachloroethene, water, filtered, recoverable, micrograms per liter	127-18-4	Tetrachloroethylene	ug/l
34477	Organics, Other	Tetrachloroethene, suspended sediment, recoverable, micrograms per liter	127-18-4	Tetrachloroethylene	ug/l
34478	Organics, Other	Tetrachloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram	127-18-4	Tetrachloroethylene	ug/kg
34480	Inorganics, Minor, Metals	Thallium, bed sediment, total digestion, dry weight, milligrams per kilogram	7440-28-0	Thallium	mg/kg
34481	Organics, Other	Toluene, water, filtered, recoverable, micrograms per liter	108-88-3	Toluene	ug/l
34482	Organics, Other	Toluene, suspended sediment, recoverable, micrograms per liter	108-88-3	Toluene	ug/l
34483	Organics, Other	Toluene, bed sediment, recoverable, dry weight, micrograms per kilogram	108-88-3	Toluene	ug/kg
34485	Organics, Other	Trichloroethene, water, filtered, recoverable, micrograms per liter	79-01-6	Trichloroethylene	ug/l
34486	Organics, Other	Trichloroethene, suspended sediment, recoverable, micrograms per liter	79-01-6	Trichloroethylene	ug/l
34487	Organics, Other	Trichloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram	79-01-6	Trichloroethylene	ug/kg
34488	Organics, Other	Trichlorofluoromethane, water, unfiltered, recoverable, micrograms per liter	75-69-4	CFC-11	ug/l
34489	Organics, Other	Trichlorofluoromethane, water, filtered, recoverable, micrograms per liter	75-69-4	CFC-11	ug/l
34490	Organics, Other	Trichlorofluoromethane, suspended sediment, recoverable, micrograms per liter	75-69-4	CFC-11	ug/l
34491	Organics, Other	Trichlorofluoromethane, bed sediment, recoverable, dry weight, micrograms per kilogram	75-69-4	CFC-11	ug/kg
34493	Organics, Other	Vinyl chloride, water, filtered, recoverable, micrograms per liter	75-01-4	Vinyl chloride	ug/l
34494	Organics, Other	Vinyl chloride, suspended sediment, recoverable, micrograms per liter	75-01-4	Vinyl chloride	ug/l
34495	Organics, Other	Vinyl chloride, bed sediment, recoverable, dry weight, micrograms per kilogram	75-01-4	Vinyl chloride	ug/kg
34496	Organics, Other	1,1-Dichloroethane, water, unfiltered, recoverable, micrograms per liter	75-34-3	1,1-Dichloroethane	ug/l
34497	Organics, Other	1,1-Dichloroethane, water, filtered, recoverable, micrograms per liter	75-34-3	1,1-Dichloroethane	ug/l
34498	Organics, Other	1,1-Dichloroethane, suspended sediment, recoverable, micrograms per liter	75-34-3	1,1-Dichloroethane	ug/l
34499	Organics, Other	1,1-Dichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram	75-34-3	1,1-Dichloroethane	ug/kg
34501	Organics, Other	1,1-Dichloroethene, water, unfiltered, recoverable, micrograms per liter	75-35-4	1,1-Dichloroethylene	ug/l
34502	Organics, Other	1,1-Dichloroethene, water, filtered, recoverable, micrograms per liter	75-35-4	1,1-Dichloroethylene	ug/l
34503	Organics, Other	1,1-Dichloroethene, suspended sediment, recoverable, micrograms per liter	75-35-4	1,1-Dichloroethylene	ug/l
34504	Organics, Other	1,1-Dichloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram	75-35-4	1,1-Dichloroethylene	ug/kg
34506	Organics, Other	1,1,1-Trichloroethane, water, unfiltered, recoverable, micrograms per liter	71-55-6	1,1,1-Trichloroethane	ug/l
34507	Organics, Other	1,1,1-Trichloroethane, water, filtered, recoverable, micrograms per liter	71-55-6	1,1,1-Trichloroethane	ug/l
34508	Organics, Other	1,1,1-Trichloroethane, suspended sediment, recoverable, micrograms per liter	71-55-6	1,1,1-Trichloroethane	ug/l
34509	Organics, Other	1,1,1-Trichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram	71-55-6	1,1,1-Trichloroethane	ug/kg
34511	Organics, Other	1,1,2-Trichloroethane, water, unfiltered, recoverable, micrograms per liter	79-00-5	1,1,2-Trichloroethane	ug/l
34512	Organics, Other	1,1,2-Trichloroethane, water, filtered, recoverable, micrograms per liter	79-00-5	1,1,2-Trichloroethane	ug/l
34513	Organics, Other	1,1,2-Trichloroethane, suspended sediment, recoverable, micrograms per liter	79-00-5	1,1,2-Trichloroethane	ug/l
34514	Organics, Other	1,1,2-Trichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram	79-00-5	1,1,2-Trichloroethane	ug/kg
34516	Organics, Other	1,1,2,2-Tetrachloroethane, water, unfiltered, recoverable, micrograms per liter	79-34-5	1,1,2,2-Tetrachloroethane	ug/l
34517	Organics, Other	1,1,2,2-Tetrachloroethane, water, filtered, recoverable, micrograms per liter	79-34-5	1,1,2,2-Tetrachloroethane	ug/l
34518	Organics, Other	1,1,2,2-Tetrachloroethane, suspended sediment, recoverable, micrograms per liter	79-34-5	1,1,2,2-Tetrachloroethane	ug/l
34519	Organics, Other	1,1,2,2-Tetrachloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram	79-34-5	1,1,2,2-Tetrachloroethane	ug/kg
34521	Organics, Other	Benzo[ghi]perylene, water, unfiltered, recoverable, micrograms per liter	191-24-2	Benzo[ghi]perylene	ug/l
34522	Organics, Other	Benzo[ghi]perylene, water, filtered, recoverable, micrograms per liter	191-24-2	Benzo[ghi]perylene	ug/l
34523	Organics, Other	Benzo[ghi]perylene, suspended sediment, recoverable, micrograms per liter	191-24-2	Benzo[ghi]perylene	ug/l
34524	Organics, Other	Benzo[ghi]perylene, bed sediment, recoverable, dry weight, micrograms per kilogram	191-24-2	Benzo[ghi]perylene	ug/kg
34526	Organics, Other	Benzo[a]anthracene, water, unfiltered, recoverable, micrograms per liter	56-55-3	Benz[a]anthracene	ug/l
34527	Organics, Other	Benzo[a]anthracene, water, filtered, recoverable, micrograms per liter	56-55-3	Benz[a]anthracene	ug/l
34528	Organics, Other	Benzo[a]anthracene, suspended sediment, recoverable, micrograms per liter	56-55-3	Benz[a]anthracene	ug/l
34529	Organics, Other	Benzo[a]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram	56-55-3	Benz[a]anthracene	ug/kg
34531	Organics, Pesticide	1,2-Dichloroethane, water, unfiltered, recoverable, micrograms per liter	107-06-2	1,2-Dichloroethane	ug/l
34532	Organics, Pesticide	1,2-Dichloroethane, water, filtered, recoverable, micrograms per liter	107-06-2	1,2-Dichloroethane	ug/l
34533	Organics, Pesticide	1,2-Dichloroethane, suspended sediment, recoverable, micrograms per liter	107-06-2	1,2-Dichloroethane	ug/l
34534	Organics, Pesticide	1,2-Dichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram	107-06-2	1,2-Dichloroethane	ug/kg
34536	Organics, Other	1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter	95-50-1	o-Dichlorobenzene	ug/l
34537	Organics, Other	1,2-Dichlorobenzene, water, filtered, recoverable, micrograms per liter	95-50-1	o-Dichlorobenzene	ug/l
34538	Organics, Other	1,2-Dichlorobenzene, suspended sediment, recoverable, micrograms per liter	95-50-1	o-Dichlorobenzene	ug/l
34539	Organics, Other	1,2-Dichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram	95-50-1	o-Dichlorobenzene	ug/kg
34541	Organics, Pesticide	1,2-Dichloropropane, water, unfiltered, recoverable, micrograms per liter	78-87-5	1,2-Dichloropropane	ug/l
34542	Organics, Pesticide	1,2-Dichloropropane, water, filtered, recoverable, micrograms per liter	78-87-5	1,2-Dichloropropane	ug/l
34543	Organics, Pesticide	1,2-Dichloropropane, suspended sediment, recoverable, micrograms per liter	78-87-5	1,2-Dichloropropane	ug/l
34544	Organics, Pesticide	1,2-Dichloropropane, bed sediment, recoverable, dry weight, micrograms per kilogram	78-87-5	1,2-Dichloropropane	ug/kg
34546	Organics, Other	trans-1,2-Dichloroethene, water, unfiltered, recoverable, micrograms per liter	156-60-5	trans-1,2-Dichloroethylene	ug/l
34547	Organics, Other	trans-1,2-Dichloroethene, water, filtered, recoverable, micrograms per liter	156-60-5	trans-1,2-Dichloroethylene	ug/l
34548	Organics, Other	trans-1,2-Dichloroethene, suspended sediment, recoverable, micrograms per liter	156-60-5	trans-1,2-Dichloroethylene	ug/l
34549	Organics, Other	trans-1,2-Dichloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram	156-60-5	trans-1,2-Dichloroethylene	ug/kg
34551	Organics, Other	1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter	120-82-1	1,2,4-Trichlorobenzene	ug/l
34552	Organics, Other	1,2,4-Trichlorobenzene, water, filtered, recoverable, micrograms per liter	120-82-1	1,2,4-Trichlorobenzene	ug/l
34553	Organics, Other	1,2,4-Trichlorobenzene, suspended sediment, recoverable, micrograms per liter	120-82-1	1,2,4-Trichlorobenzene	ug/l
34554	Organics, Other	1,2,4-Trichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram	120-82-1	1,2,4-Trichlorobenzene	ug/kg
34556	Organics, Other	Dibenzo[a,h]anthracene, water, unfiltered, recoverable, micrograms per liter	53-70-3	Dibenz[a,h]anthracene	ug/l
34557	Organics, Other	Dibenzo[a,h]anthracene, water, filtered, recoverable, micrograms per liter	53-70-3	Dibenz[a,h]anthracene	ug/l
34558	Organics, Other	Dibenzo[a,h]anthracene, suspended sediment, recoverable, micrograms per liter	53-70-3	Dibenz[a,h]anthracene	ug/l
34559	Organics, Other	Dibenzo[a,h]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram	53-70-3	Dibenz[a,h]anthracene	ug/kg
34561	Organics, Pesticide	1,3-Dichloropropene, water, unfiltered, recoverable, micrograms per liter	542-75-6	1,3-Dichloropropene	ug/l
34562	Organics, Pesticide	1,3-Dichloropropene, water, filtered, recoverable, micrograms per liter	542-75-6	 	ug/l
34566	Organics, Other	1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter	541-73-1	m-Dichlorobenzene	ug/l
34567	Organics, Other	1,3-Dichlorobenzene, water, filtered, recoverable, micrograms per liter	541-73-1	m-Dichlorobenzene	ug/l
34568	Organics, Other	1,3-Dichlorobenzene, suspended sediment, recoverable, micrograms per liter	541-73-1	m-Dichlorobenzene	ug/l
34569	Organics, Other	1,3-Dichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram	541-73-1	m-Dichlorobenzene	ug/kg
34571	Organics, Pesticide	1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter	106-46-7	p-Dichlorobenzene	ug/l
34572	Organics, Pesticide	1,4-Dichlorobenzene, water, filtered, recoverable, micrograms per liter	106-46-7	p-Dichlorobenzene	ug/l
34573	Organics, Pesticide	1,4-Dichlorobenzene, suspended sediment, recoverable, micrograms per liter	106-46-7	p-Dichlorobenzene	ug/l
34574	Organics, Pesticide	1,4-Dichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram	106-46-7	p-Dichlorobenzene	ug/kg
34576	Organics, Other	2-Chloroethyl vinyl ether, water, unfiltered, recoverable, micrograms per liter	110-75-8	2-Chloroethyl vinyl ether	ug/l
34577	Organics, Other	2-Chloroethyl vinyl ether, water, filtered, recoverable, micrograms per liter	110-75-8	2-Chloroethyl vinyl ether	ug/l
34578	Organics, Other	2-Chloroethyl vinyl ether, suspended sediment, recoverable, micrograms per liter	110-75-8	2-Chloroethyl vinyl ether	ug/l
34579	Organics, Other	2-Chloroethyl vinyl ether, bed sediment, recoverable, dry weight, micrograms per kilogram	110-75-8	2-Chloroethyl vinyl ether	ug/kg
34581	Organics, Other	2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter	91-58-7	2-Chloronaphthalene	ug/l
34582	Organics, Other	2-Chloronaphthalene, water, filtered, recoverable, micrograms per liter	91-58-7	2-Chloronaphthalene	ug/l
34583	Organics, Other	2-Chloronaphthalene, suspended sediment, recoverable, micrograms per liter	91-58-7	2-Chloronaphthalene	ug/l
34584	Organics, Other	2-Chloronaphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram	91-58-7	2-Chloronaphthalene	ug/kg
34586	Organics, Other	2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter	95-57-8	o-Chlorophenol	ug/l
34587	Organics, Other	2-Chlorophenol, water, filtered, recoverable, micrograms per liter	95-57-8	o-Chlorophenol	ug/l
34588	Organics, Other	2-Chlorophenol, suspended sediment, recoverable, micrograms per liter	95-57-8	o-Chlorophenol	ug/l
34589	Organics, Other	2-Chlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	95-57-8	o-Chlorophenol	ug/kg
34591	Organics, Other	2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter	88-75-5	o-Nitrophenol	ug/l
34592	Organics, Other	2-Nitrophenol, water, filtered, recoverable, micrograms per liter	88-75-5	o-Nitrophenol	ug/l
34593	Organics, Other	2-Nitrophenol, suspended sediment, recoverable, micrograms per liter	88-75-5	o-Nitrophenol	ug/l
34594	Organics, Other	2-Nitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	88-75-5	o-Nitrophenol	ug/kg
34596	Organics, Other	Di-n-octyl phthalate, water, unfiltered, recoverable, micrograms per liter	117-84-0	Di-n-octyl phthalate	ug/l
34597	Organics, Other	Di-n-octyl phthalate, water, filtered, recoverable, micrograms per liter	117-84-0	Di-n-octyl phthalate	ug/l
34598	Organics, Other	Di-n-octyl phthalate, suspended sediment, recoverable, micrograms per liter	117-84-0	Di-n-octyl phthalate	ug/l
34599	Organics, Other	Di-n-octyl phthalate, bed sediment, recoverable, dry weight, micrograms per kilogram	117-84-0	Di-n-octyl phthalate	ug/kg
34601	Organics, Pesticide	2,4-Dichlorophenol, water, unfiltered, recoverable, micrograms per liter	120-83-2	2,4-Dichlorophenol	ug/l
34602	Organics, Pesticide	2,4-Dichlorophenol, water, filtered, recoverable, micrograms per liter	120-83-2	2,4-Dichlorophenol	ug/l
34603	Organics, Pesticide	2,4-Dichlorophenol, suspended sediment, recoverable, micrograms per liter	120-83-2	2,4-Dichlorophenol	ug/l
34604	Organics, Pesticide	2,4-Dichlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	120-83-2	2,4-Dichlorophenol	ug/kg
34606	Organics, Pesticide	2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter	105-67-9	2,4-Dimethylphenol	ug/l
34607	Organics, Pesticide	2,4-Dimethylphenol, water, filtered, recoverable, micrograms per liter	105-67-9	2,4-Dimethylphenol	ug/l
34608	Organics, Pesticide	2,4-Dimethylphenol, suspended sediment, recoverable, micrograms per liter	105-67-9	2,4-Dimethylphenol	ug/l
34609	Organics, Pesticide	2,4-Dimethylphenol, bed sediment, recoverable, dry weight, micrograms per kilogram	105-67-9	2,4-Dimethylphenol	ug/kg
34611	Organics, Other	2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter	121-14-2	2,4-Dinitrotoluene	ug/l
34612	Organics, Other	2,4-Dinitrotoluene, water, filtered, recoverable, micrograms per liter	121-14-2	2,4-Dinitrotoluene	ug/l
34613	Organics, Other	2,4-Dinitrotoluene, suspended sediment, recoverable, micrograms per liter	121-14-2	2,4-Dinitrotoluene	ug/l
34614	Organics, Other	2,4-Dinitrotoluene, bed sediment, recoverable, dry weight, micrograms per kilogram	121-14-2	2,4-Dinitrotoluene	ug/kg
34616	Organics, Other	2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter	51-28-5	2,4-Dinitrophenol	ug/l
34617	Organics, Other	2,4-Dinitrophenol, water, filtered, recoverable, micrograms per liter	51-28-5	2,4-Dinitrophenol	ug/l
34618	Organics, Other	2,4-Dinitrophenol, suspended sediment, recoverable, micrograms per liter	51-28-5	2,4-Dinitrophenol	ug/l
34619	Organics, Other	2,4-Dinitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	51-28-5	2,4-Dinitrophenol	ug/kg
34621	Organics, Pesticide	2,4,6-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter	88-06-2	2,4,6-Trichlorophenol	ug/l
34622	Organics, Pesticide	2,4,6-Trichlorophenol, water, filtered, recoverable, micrograms per liter	88-06-2	2,4,6-Trichlorophenol	ug/l
34623	Organics, Pesticide	2,4,6-Trichlorophenol, suspended sediment, recoverable, micrograms per liter	88-06-2	2,4,6-Trichlorophenol	ug/l
34624	Organics, Pesticide	2,4,6-Trichlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram	88-06-2	2,4,6-Trichlorophenol	ug/kg
34626	Organics, Other	2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter	606-20-2	2,6-Dinitrotoluene	ug/l
34627	Organics, Other	2,6-Dinitrotoluene, water, filtered, recoverable, micrograms per liter	606-20-2	2,6-Dinitrotoluene	ug/l
34628	Organics, Other	2,6-Dinitrotoluene, suspended sediment, recoverable, micrograms per liter	606-20-2	2,6-Dinitrotoluene	ug/l
34629	Organics, Other	2,6-Dinitrotoluene, bed sediment, recoverable, dry weight, micrograms per kilogram	606-20-2	2,6-Dinitrotoluene	ug/kg
34631	Organics, Other	3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter	91-94-1	3,3'-Dichlorobenzidine	ug/l
34632	Organics, Other	3,3'-Dichlorobenzidine, water, filtered, recoverable, micrograms per liter	91-94-1	3,3'-Dichlorobenzidine	ug/l
34633	Organics, Other	3,3'-Dichlorobenzidine, suspended sediment, recoverable, micrograms per liter	91-94-1	3,3'-Dichlorobenzidine	ug/l
