#
# National Water Information System
# 2013/12/17
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
parm_cd	parm_nm	fxd_va	fxd_tx
00028	Analyzing agency	2300.0	General Services Administration
00028	Analyzing agency	2500.0	Department of Housing and Urban Development
00028	Analyzing agency	2555.0	U.S. Public Health Service, Division of Indian Health
00028	Analyzing agency	2700.0	National Aeronautics and Space Administration
00028	Analyzing agency	3315.0	Tennessee Valley Authority
00028	Analyzing agency	6001.0	Association of Bay Area Governments, California
00028	Analyzing agency	6003.0	Alameda Co. Flood Control and Water Conservation Dist., CA
00028	Analyzing agency	6005.0	East Bay Regional Park District, CA
00028	Analyzing agency	6006.0	East Bay Municipal Utility District, Oakland CA
00028	Analyzing agency	6010.0	CA Regional Water Quality Control Board North Coast Region
00028	Analyzing agency	6015.0	United Water Conservation District, Santa Paula CA
00028	Analyzing agency	6020.0	Santa Clara Valley Water District, California
00028	Analyzing agency	6021.0	LA County Ag. Comm. Weights & Meas. Dept. Env. Toxicology L
00028	Analyzing agency	6022.0	Antelope Valley East Kern Water Agency Laboratory
00028	Analyzing agency	6040.0	Quanterra Environmental Services, West Sacramento, CA
00028	Analyzing agency	8001.0	Chadwick and Associates, Inc., Littleton, CO
00028	Analyzing agency	9701.0	Alabama
00028	Analyzing agency	9702.0	Alaska
00028	Analyzing agency	9704.0	Arizona
00028	Analyzing agency	9705.0	Arkansas
00028	Analyzing agency	9706.0	California
00028	Analyzing agency	9708.0	Colorado
00028	Analyzing agency	9709.0	Connecticut
00028	Analyzing agency	9710.0	Delaware
00028	Analyzing agency	9711.0	District of Columbia
00028	Analyzing agency	9712.0	Florida
00028	Analyzing agency	9713.0	Georgia
00028	Analyzing agency	9715.0	Hawaii
00028	Analyzing agency	9716.0	Idaho
00028	Analyzing agency	9717.0	Illinois
00028	Analyzing agency	9718.0	Indiana
00028	Analyzing agency	9719.0	Iowa
00028	Analyzing agency	9720.0	Kansas
00028	Analyzing agency	9721.0	Kentucky
00028	Analyzing agency	9722.0	Louisiana
00028	Analyzing agency	9723.0	Maine
00028	Analyzing agency	9724.0	Maryland
00028	Analyzing agency	9725.0	Massachusetts
00028	Analyzing agency	9726.0	Michigan
00028	Analyzing agency	9727.0	Minnesota Pollution Control Council
00028	Analyzing agency	9728.0	Mississippi
00028	Analyzing agency	9729.0	Missouri
00028	Analyzing agency	9730.0	Montana
00028	Analyzing agency	9731.0	Nebraska
00028	Analyzing agency	9732.0	Nevada
00028	Analyzing agency	9733.0	New Hampshire
00028	Analyzing agency	9734.0	NJ Dpt Hlth&Senior Svcs-Div Pub Hlth&Env Labs-Env&Chem Lab
00028	Analyzing agency	9735.0	New Mexico
00028	Analyzing agency	9736.0	New York
00028	Analyzing agency	9737.0	North Carolina
00028	Analyzing agency	9738.0	North Dakota
00028	Analyzing agency	9739.0	Ohio
00028	Analyzing agency	9740.0	Oklahoma
00028	Analyzing agency	9741.0	Oregon
00028	Analyzing agency	9742.0	Pennsylvania
00028	Analyzing agency	9744.0	Rhode Island
00028	Analyzing agency	9745.0	South Carolina
00028	Analyzing agency	9746.0	South Dakota
00028	Analyzing agency	9747.0	Tennessee
00028	Analyzing agency	9748.0	Texas
00028	Analyzing agency	9749.0	Utah
00028	Analyzing agency	9750.0	Vermont
00028	Analyzing agency	9751.0	Virginia
00028	Analyzing agency	9753.0	Washington
00028	Analyzing agency	9754.0	West Virginia
00028	Analyzing agency	9755.0	Wisconsin
00028	Analyzing agency	9756.0	Wyoming
00028	Analyzing agency	9760.0	American Samoa
00028	Analyzing agency	9761.0	Canal Zone
00028	Analyzing agency	9762.0	Canton and Enderbury Islands
00028	Analyzing agency	9766.0	Guam
00028	Analyzing agency	9767.0	Johnston Atoll
00028	Analyzing agency	9771.0	Midway Islands
00028	Analyzing agency	9772.0	Puerto Rico
00028	Analyzing agency	9773.0	Ryukyu Islands, Southern
00028	Analyzing agency	9775.0	Trust Territories of the Pacific Islands
00028	Analyzing agency	9777.0	U.S. Miscellaneous Pacific Islands
00028	Analyzing agency	9778.0	Virgin Islands
00028	Analyzing agency	9779.0	Wake Island
00028	Analyzing agency	9780.0	Mexico
00028	Analyzing agency	9781.0	Tamaulipas
00028	Analyzing agency	9782.0	Nuevo Leon
00028	Analyzing agency	9783.0	Coahuila
00028	Analyzing agency	9784.0	Chihuahua
00028	Analyzing agency	9785.0	Sonora
00028	Analyzing agency	9786.0	Baja California Norte
00028	Analyzing agency	9790.0	New Brunswick
00028	Analyzing agency	9791.0	Quebec
00028	Analyzing agency	9792.0	Ontario
00028	Analyzing agency	9793.0	Manitoba
00028	Analyzing agency	9794.0	Saskatchewan
00028	Analyzing agency	9795.0	Alberta
00028	Analyzing agency	9796.0	British Columbia
00028	Analyzing agency	9797.0	Yukon
00028	Analyzing agency	9801.0	Private Laboratory
00028	Analyzing agency	9802.0	Salt River Valley Users Association
00028	Analyzing agency	9803.0	Metropolitan Water District of Southern California
00028	Analyzing agency	9804.0	Florida Department of Pollution Control
00028	Analyzing agency	9805.0	Central and Southern Florida Flood Control District
00028	Analyzing agency	9806.0	Florida Game and Fresh Water Fish Commission
00028	Analyzing agency	9807.0	Florida Department of Health and Rehabilitative Services
00028	Analyzing agency	9808.0	Southwest Florida Water Management District
00028	Analyzing agency	9809.0	City of Jacksonville, Florida
00028	Analyzing agency	9810.0	Reedy Creek Improvement District, Florida
00028	Analyzing agency	9811.0	Orange County Pollution Control Department, Florida
00028	Analyzing agency	9812.0	Brevard County Pollution Control Department, Florida
00028	Analyzing agency	9813.0	Pennsylvania Department of Environmental Resources
00028	Analyzing agency	9814.0	Alaska Department of Fish and Game
00028	Analyzing agency	9815.0	Alaska Department of Environmental Conservation
00028	Analyzing agency	9816.0	California Department of Water Resources
00028	Analyzing agency	9817.0	Orange County Water District, Calif.
00028	Analyzing agency	9818.0	Hillsborough County Environmental Protection Comm., FL
00028	Analyzing agency	9819.0	Nassau County Department of Health, NY
00028	Analyzing agency	9820.0	Suffolk County Department of Health, NY
00028	Analyzing agency	9821.0	Suffolk County Department of Envir. Control, NY
00028	Analyzing agency	9822.0	Suffolk County Water Authority, NY
00028	Analyzing agency	9823.0	Alameda County Water District, CA
00028	Analyzing agency	9824.0	Alameda Co. Flood Control & Water Conser. Dist, Zone 7, CA
00028	Analyzing agency	9825.0	Valley Community Services District (Livermore), CA
00028	Analyzing agency	9826.0	City of Livermore Waste Treatment Plant, CA
00028	Analyzing agency	9827.0	Arkansas Department of Pollution Control and Ecology
00028	Analyzing agency	9828.0	Arkansas Game and Fish Commission
00028	Analyzing agency	9829.0	Nassau County Department of Public Works, NY
00028	Analyzing agency	9830.0	City of Ithaca Wastewater Treatment Plant Laboratory, NY
00028	Analyzing agency	9831.0	University of Iowa, State Hygienic Laboratory
00028	Analyzing agency	9902.0	University of Arizona
00028	Analyzing agency	9903.0	University of Florida
00028	Analyzing agency	9904.0	Florida State University
00028	Analyzing agency	9905.0	University of Central Florida
00028	Analyzing agency	9906.0	University of Alaska
00028	Analyzing agency	10001.0	University of Delaware, College of Marine Studies, Lewes,DE
00028	Analyzing agency	10003.0	Del. Dept. Natural Resources and Envir. Control, Dover, DE
00028	Analyzing agency	12001.0	City of Tampa, Florida
00028	Analyzing agency	12002.0	City of Vero Beach, Florida
00028	Analyzing agency	12005.0	City of Tallahassee, Florida
00028	Analyzing agency	12007.0	ITT Community Development Corporation, Florida
00028	Analyzing agency	12010.0	Palm Beach County Engineer
00028	Analyzing agency	12020.0	Palm Beach County Health Dept.
00028	Analyzing agency	12030.0	Dade County Dept. of Env. Resources Man.
00028	Analyzing agency	12040.0	University of Miami, Tritium Laboratory, Miami, FL
00028	Analyzing agency	12050.0	Quanterra Environmental Services, Tampa, FL
00028	Analyzing agency	16001.0	Idaho Department of Water Resources
00028	Analyzing agency	16002.0	Idaho Department of Health and Welfare
00028	Analyzing agency	17001.0	Metropolitan Sanitary Dist. of Greater Chicago(MSD)
00028	Analyzing agency	17002.0	Illinois Environmental Protection Agency (IEPA)
00028	Analyzing agency	17003.0	Illinois State Water Survey (ISWS)
00028	Analyzing agency	18001.0	Indiana Dept. Env. Mgmt., Drinking Water Branch, GW Section
00028	Analyzing agency	18002.0	Indiana Department of Environmental Management (IDEM)
00028	Analyzing agency	18003.0	Indiana Geological Survey (IGS)
00028	Analyzing agency	18004.0	Indiana Department of Natural Resources (IDNR)
00028	Analyzing agency	18005.0	Indianapolis Department of Public Works, Indiana (IDPW)
00028	Analyzing agency	18006.0	Purdue University, Lafayette, Indiana
00028	Analyzing agency	18007.0	Indiana University, Bloomington, Indiana
00028	Analyzing agency	18008.0	Ball State University, Muncie, Indiana
00028	Analyzing agency	18009.0	St. Joseph River Basin Commission, Indiana
00028	Analyzing agency	20001.0	Kansas State Geological Survey
00028	Analyzing agency	20003.0	City of Topeka, Kansas Wastewater Laboratory
00028	Analyzing agency	20005.0	City of Wichita, Kansas Water and Wastewater Laboratory
00028	Analyzing agency	21001.0	Geological Survey of Kentucky
00028	Analyzing agency	25001.0	Barnstable County Health Department, Mass.
00028	Analyzing agency	25005.0	Biology Department, Woods Hole Oceanographic Inst., MA
00028	Analyzing agency	25007.0	Mass. WRA, Sewerage Division Central Lab., Winthrop, MA
00028	Analyzing agency	25009.0	Alpha Analytical Labs, Westborough, MA
00028	Analyzing agency	26001.0	PhycoTech, St Joseph, MI
00028	Analyzing agency	27001.0	Minn. Department of Natural Resources (DNR), St. Paul, MN
00028	Analyzing agency	27002.0	Minn. DNR, Waters Division, St. Paul, MN
00028	Analyzing agency	27003.0	Minn. DNR, Fish and Wildlife Division, St. Paul, MN
00028	Analyzing agency	27004.0	Minn. DNR, Forestry Division, St. Paul, MN
00028	Analyzing agency	27005.0	Minn. DNR, Minerals Division, St. Paul, MN
00028	Analyzing agency	27010.0	Minn. Pollution Control Agency (PCA), St. Paul, MN
00028	Analyzing agency	27011.0	Minn. PCA, Water Quality Division, St. Paul, MN
00028	Analyzing agency	27012.0	Minn. PCA, Solid/Hazardous Waste Division, St. Paul, MN
00028	Analyzing agency	27013.0	Minn. PCA, Air Quality Division, St. Paul, MN
00028	Analyzing agency	27020.0	Minn. Department of Health, Minneapolis, MN
00028	Analyzing agency	27030.0	Minn. Geological Survey, St. Paul, MN
00028	Analyzing agency	27035.0	Univ. of Minnesota, Minneapolis-St. Paul, MN
00028	Analyzing agency	27036.0	Univ. of Minn., Geology and Geophysics, Minneapolis, MN
00028	Analyzing agency	27037.0	Univ. of Minn., Research Analytical Lab, St. Paul, MN
00028	Analyzing agency	27038.0	Univ. of Minn., Gray Freshwater Bio. Inst., Navarre, MN
00028	Analyzing agency	27039.0	Univ. of Minn., Soil Science  St. Paul, MN
00028	Analyzing agency	27040.0	Univ. of Minn., Agricultural Engineering, St. Paul, MN
00028	Analyzing agency	27041.0	Univ. of Minn., Ecol., Evol., and Behavior, St. Paul, MN
00028	Analyzing agency	27050.0	Metropolitan Waste Control Commission, St. Paul, MN
00028	Analyzing agency	28001.0	Office of Pollution Control, Mississippi
00028	Analyzing agency	28002.0	Office of Geology, Mississippi
00028	Analyzing agency	28003.0	Office of Land and Water Resources, Mississippi
00028	Analyzing agency	28004.0	Mississippi State Chemical Laboratory, Miss. State Univ.
00028	Analyzing agency	29001.0	Missouri Dept of Natural Resources, Div of Envir. Quality
00028	Analyzing agency	30010.0	Montana Bureau of Mines and Geology
00028	Analyzing agency	30020.0	Montana Dept. of Fish Wildlife and Parks
00028	Analyzing agency	30030.0	Montana Dept. of Health/Env. Sciences, Water Quality Bureau
00028	Analyzing agency	30040.0	Montana Agricultural Research Center
00028	Analyzing agency	30050.0	Montana Tunnels Mining, Inc., Wickes, MT
00028	Analyzing agency	30060.0	Water Consulting, Inc., Hamilton, MT
00028	Analyzing agency	31001.0	Nebraska Department of Environmental Control Laboratory
00028	Analyzing agency	32001.0	Nevada Division of Environmental Protection
00028	Analyzing agency	32003.0	Nevada Division of Water Resources
00028	Analyzing agency	32005.0	Univ. of Nev., Div. of Renew. Nat. Resources
00028	Analyzing agency	32006.0	Nevada Bureau of Environmental Health
00028	Analyzing agency	32007.0	Nevada Bureau of Mines & Geology
00028	Analyzing agency	32009.0	Nevada Department of Fish & Game
00028	Analyzing agency	32010.0	Nevada Division of Forestry
00028	Analyzing agency	32011.0	Nevada Division of Parks
00028	Analyzing agency	32012.0	Nevada Consumer Health Protection Service
00028	Analyzing agency	32013.0	Univ. of Nev., Desert Research Institute
00028	Analyzing agency	32014.0	Univ. of Nev., College of Agriculture
00028	Analyzing agency	32015.0	Clark County District Health Department, Nevada
00028	Analyzing agency	32016.0	Washoe County District Health Department, Nevada
00028	Analyzing agency	32017.0	Las Vegas Valley Water District, Nevada
00028	Analyzing agency	32018.0	Sierra Pacific Power Co., Nevada
00028	Analyzing agency	32019.0	Nevada Bureau of Laboratories and Research
00028	Analyzing agency	32020.0	Washoe County Utilities, Reno, NV
00028	Analyzing agency	32021.0	Carson City Public Works, Carson City, NV
00028	Analyzing agency	32022.0	Truckee Meadows Water Reclamation Facility, Reno, NV
00028	Analyzing agency	32091.0	Washoe County COG, Nevada
00028	Analyzing agency	32092.0	Clark County COG, Nevada
00028	Analyzing agency	32093.0	Municipal Water Company, Nevada
00028	Analyzing agency	34001.0	New Jersey Department of Environmental Protection
00028	Analyzing agency	34002.0	Roy F. Weston Inc., West Chester, PA
00028	Analyzing agency	34003.0	Booth, Garrett, and Blair Inc., Ambler, PA
00028	Analyzing agency	34004.0	Cape May County, NJ, Department of Health
00028	Analyzing agency	34005.0	Cape May County, NJ, Planning Board
00028	Analyzing agency	34006.0	Quanterra Environmental Services, Summerset, NJ
00028	Analyzing agency	34007.0	Accutest Laboratories, Dayton, NJ
00028	Analyzing agency	34008.0	Analab Inc, Edison, NJ
00028	Analyzing agency	34010.0	New Jersey, DEP, Bureau of Marine Water Monitoring Lab
00028	Analyzing agency	36010.0	New York Department of Health
00028	Analyzing agency	36012.0	New York Dept. of Environmental Conservation, Albany, NY
00028	Analyzing agency	36015.0	Environmental Associates, Ithaca, NY
00028	Analyzing agency	36020.0	Nassau County, Department of Public Works
00028	Analyzing agency	38001.0	North Dakota Geological Survey
00028	Analyzing agency	38002.0	North Dakota State Water Commission
00028	Analyzing agency	38003.0	North Dakota State Health Department
00028	Analyzing agency	38004.0	Spirit Lake Tribe, North Dakota
00028	Analyzing agency	39001.0	Heidelberg College QW Lab, Tiffin, Ohio
00028	Analyzing agency	39002.0	Northeastern Ohio Regional Sewer District, Ohio
00028	Analyzing agency	39003.0	Lake County General Health District, Ohio
00028	Analyzing agency	39004.0	Cuyahoga County Board of Health, Ohio
00028	Analyzing agency	40810.0	Corps of Engineers, Tulsa District
00028	Analyzing agency	41000.0	City of Portland, Bureau of Water Works
00028	Analyzing agency	42010.0	City of Philadelphia, PA.
00028	Analyzing agency	42011.0	Susquehanna River Basin Commission
00028	Analyzing agency	42015.0	The Academy of Natural Sciences of Philadelphia, PA
00028	Analyzing agency	42016.0	Penn State Harrisburg, Middletown, PA
00028	Analyzing agency	42020.0	Quanterra Environmental Services, Pittsburgh, PA
00028	Analyzing agency	44001.0	Philip J. Holton Water Purification Plant, Scituate, RI
00028	Analyzing agency	46001.0	South Dakota State University Soils Laboratory
00028	Analyzing agency	46002.0	South Dakota Water Resources Institute
00028	Analyzing agency	46003.0	South Dakota Agricultural Experiment Station
00028	Analyzing agency	46004.0	South Dakota State Chemist
00028	Analyzing agency	46005.0	South Dakota School of Mines and Technology
00028	Analyzing agency	46006.0	South Dakota State University, Dept. Station Biochemistry
00028	Analyzing agency	46007.0	South Dakota Division of Water Rights
00028	Analyzing agency	46008.0	South Dakota Geological Survey, Vermillion, SD
00028	Analyzing agency	46009.0	South Dakota Department of Health
00028	Analyzing agency	47001.0	University of Tennessee at Knoxville
00028	Analyzing agency	48001.0	Texas A&M U., Trace Element Research Lab., College Sta., TX
00028	Analyzing agency	49001.0	Kennecott Environmental Lab, Salt Lake City, UT
00028	Analyzing agency	51001.0	Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA
00028	Analyzing agency	51003.0	George Mason University, Fairfax, VA
00028	Analyzing agency	51005.0	Virginia Tech., Occoquan Watershed Monitoring Laboratory
00028	Analyzing agency	55555.0	Individual
00028	Analyzing agency	66666.0	Driller
00028	Analyzing agency	80000.0	USGS-Branch of Quality Systems
00028	Analyzing agency	80003.0	Inst. Kernphysik, Tech Univ, Darmstadt, Germany
00028	Analyzing agency	80010.0	Atlanta Central Laboratory, GA
00028	Analyzing agency	80020.0	USGS-National Water Quality Lab, Denver, CO
00028	Analyzing agency	80030.0	Albany Central Laboratory, NY
00028	Analyzing agency	80040.0	USGS Geologic Division, Branch of Geochemistry, Arvada, CO
00028	Analyzing agency	80042.0	USGS, Biology Dept., Woods Hole Oceanographic Ins, MA
00028	Analyzing agency	80045.0	USGS-Geologic Division Radionuclide Lab, Denver, CO
00028	Analyzing agency	80055.0	IEAE, Vienna, Austria
00028	Analyzing agency	80088.0	Radioactive Dating Lab, Geol. Survey, Sweden-Frescati
00028	Analyzing agency	80090.0	USGS-National Research Program Lab, Reston, VA
00028	Analyzing agency	80093.0	USGS-National Research Program Lab, Denver/Boulder, CO
00028	Analyzing agency	80095.0	USGS-National Research Program Lab, Menlo Park, CA
00028	Analyzing agency	80096.0	USGS Solids/Organic Matter Research Lab, Denver, CO
00028	Analyzing agency	80097.0	USGS Carbon Research Lab, Boulder, CO
00028	Analyzing agency	80098.0	USGS Isotope Research Lab, Menlo Park, CA
00028	Analyzing agency	80110.0	Severn-Trent Laboratory - Mobile: Mobile, AL
00028	Analyzing agency	80113.0	District Water-Quality Lab, Tuscaloosa, Alabama
00028	Analyzing agency	80141.0	Geological Survey of Alabama
00028	Analyzing agency	80201.0	Alaska Division of Geologic and Geophysical Surveys (DGGS)
00028	Analyzing agency	80203.0	Chemical and Geological Laboratories of Alaska
00028	Analyzing agency	80205.0	Northern Test Lab (Soldotna, Alaska)
00028	Analyzing agency	80213.0	District Water-Quality Lab, Anchorage, Alaska
00028	Analyzing agency	80410.0	City of Tucson, AZ
00028	Analyzing agency	80413.0	District Water-Quality Lab, Yuma, Arizona
00028	Analyzing agency	80415.0	Ariz. Dept. of Environmental Quality
00028	Analyzing agency	80417.0	Ariz. Dept. of Water Resources
00028	Analyzing agency	80501.0	Ouachita Baptist University, Arkadelphia, Arkansas
00028	Analyzing agency	80503.0	University of Arkansas, Dept. of Engineering, Fayetteville
00028	Analyzing agency	80505.0	University of Arkansas, Dept. of Geology, Fayetteville
00028	Analyzing agency	80513.0	District Water-Quality Lab, Little Rock, Arkansas
00028	Analyzing agency	80515.0	Arkansas Geological Commission
00028	Analyzing agency	80601.0	Health and Human Services Indian Health Services, CA
00028	Analyzing agency	80613.0	District Water-Quality Lab, Sacramento, California
00028	Analyzing agency	80615.0	Sediment Analysis Lab, USGS, Marina, California
00028	Analyzing agency	80618.0	District Water-Quality Lab, San Diego, California
00028	Analyzing agency	80620.0	Severn-Trent Laboratory - Sacramento: West Sacramento, CA
00028	Analyzing agency	80623.0	City of San Diego Lab, California
00028	Analyzing agency	80630.0	Severn-Trent Laboratory - Los Angeles: Santa Ana, CA
00028	Analyzing agency	80640.0	Montgomery-Watson-Harza Laboratories, Monrovia, CA
00028	Analyzing agency	80641.0	Lawrence Livermore Lab, California
00028	Analyzing agency	80642.0	Global Geochemistry Corporation, Canoga Park, CA
00028	Analyzing agency	80643.0	Eberline Services, Richmond, California
00028	Analyzing agency	80645.0	Montgomery Watson Laboratories, Monrovia, CA
00028	Analyzing agency	80647.0	High Sierra Lab, Truckee, California
00028	Analyzing agency	80650.0	University of California, Berkeley
00028	Analyzing agency	80670.0	University of California, Davis
00028	Analyzing agency	80671.0	University of California, San Diego, La Jolla
00028	Analyzing agency	80672.0	University of California, Los Angeles
00028	Analyzing agency	80801.0	City of Arvada, CO
00028	Analyzing agency	80810.0	Colorado Division of Wildlife
00028	Analyzing agency	80820.0	Pine River Watershed Stakeholders Group, Colorado
00028	Analyzing agency	80839.0	Env.Health Div. Vet.Science College, CSU, Fort Collins, CO
00028	Analyzing agency	80841.0	Davis Laboratories, Colorado
00028	Analyzing agency	80843.0	Denver Regional Council Of Government
00028	Analyzing agency	80845.0	Metropolitan Denver Sewage Disposal District Lab. No. 1
00028	Analyzing agency	80847.0	Soils Testing Laboratory, Colo State Univ, Ft. Collins, CO
00028	Analyzing agency	80849.0	Rocky Mountain Analytical Laboratory (Arvada, Colorado)
00028	Analyzing agency	80851.0	Upper Clear Creek Advisory Group, Idaho Springs, CO
00028	Analyzing agency	80853.0	City of Colorado Springs, Environmental Quality Lab
00028	Analyzing agency	80855.0	Severn-Trent Laboratory, Denver, CO
00028	Analyzing agency	80857.0	City of Fort Collins, CO
00028	Analyzing agency	80859.0	Acculabs, Inc., Golden, CO
00028	Analyzing agency	81210.0	St. Johns Water Management District, Florida
00028	Analyzing agency	81213.0	District Water-Quality Lab, Ocala, Florida
00028	Analyzing agency	81220.0	Severn-Trent Laboratory - Pensacola: Pensacola, FL
00028	Analyzing agency	81222.0	Severn-Trent Laboratory - Tallahassee: Tallahassee, FL
00028	Analyzing agency	81223.0	University of Miami-School of Marine Science, Miami, FL
00028	Analyzing agency	81227.0	Volusia County Environmental Control, FL
00028	Analyzing agency	81229.0	University of Miami, Miami, FL
00028	Analyzing agency	81232.0	South Florida Water Management District, West Palm Beach, F
00028	Analyzing agency	81233.0	Florida International University, Miami, FL
00028	Analyzing agency	81320.0	Severn-Trent Laboratory - Savannah: Savannah, GA
00028	Analyzing agency	81330.0	University of Georgia, Ag and Env Services Laboratory
00028	Analyzing agency	81341.0	Georgia State Natural Resources Department
00028	Analyzing agency	81345.0	USGS, Panola Mountain Research (WEBB) Lab, Georgia
00028	Analyzing agency	81350.0	USGS, Sediment-partitioning Research Lab, Georgia
00028	Analyzing agency	81513.0	District Water-Quality Lab, Honolulu, Hawaii
00028	Analyzing agency	81601.0	Radiological & Env. Sciences Lab, DOE, INEL, Idaho Falls,ID
00028	Analyzing agency	81603.0	Environmental Chemistry Lab, E.G.&G., INEL, Idaho Falls, ID
00028	Analyzing agency	81605.0	Radiation Measurements Lab, E.G.&G., INEL, Idaho Falls, ID
00028	Analyzing agency	81607.0	Environmental Analysis Group, WINCO, INEL, Idaho Falls, ID
00028	Analyzing agency	81641.0	Idaho Dept. of Health and Welfare, Bureau of Laboratories
00028	Analyzing agency	81700.0	USGS - Illinois District
00028	Analyzing agency	81720.0	Severn-Trent Laboratory - Chicago: Chicago, IL
00028	Analyzing agency	81741.0	Bloomington Normal Sanitary District, Illinois
00028	Analyzing agency	81777.0	University of Chicago, Illinois
00028	Analyzing agency	81804.0	Severn-Trent Laboratory - Valparaiso: Valparaiso, IN
00028	Analyzing agency	81941.0	Iowa State Hygienic Laboratory
00028	Analyzing agency	81951.0	Iowa Department of Environmental Quality
00028	Analyzing agency	81960.0	USGS-Iowa District Sediment Lab, Iowa City, IA
00028	Analyzing agency	82013.0	District Research Water-Quality Lab, Lawrence, KS
00028	Analyzing agency	82041.0	Kansas State Department of Health and Environment
00028	Analyzing agency	82043.0	Johnson County Environmental Laboratory, Lenexa, Kansas
00028	Analyzing agency	82101.0	Kentucky Cabinet of Human Resources
00028	Analyzing agency	82103.0	Beckmar Environmental Laboratory, Kentucky
00028	Analyzing agency	82105.0	USGS-Kentucky District Sediment Lab, Louisville, KY
00028	Analyzing agency	82213.0	District Water-Quality Lab, Baton Rouge, Louisiana
00028	Analyzing agency	82215.0	Sediment Analysis Lab, USGS, Baton Rouge, Lousiana
00028	Analyzing agency	82241.0	Louisiana, Gulf South Research Institute
00028	Analyzing agency	82301.0	University of Maine Laboratory, Orono, ME
00028	Analyzing agency	82303.0	Houlton Band of Maliseet Indians, Maine
00028	Analyzing agency	82341.0	Maine, Dept. of Environmental Protection
00028	Analyzing agency	82440.0	District Water-Quality Lab, Baltimore, Maryland
00028	Analyzing agency	82520.0	Severn-Trent Laboratory - On-Site Technology: Westfield, MA
00028	Analyzing agency	82522.0	Severn-Trent Laboratory - Westfield: Westfield, MA
00028	Analyzing agency	82524.0	Severn-Trent Laboratory - Billerica: Billerica, MA
00028	Analyzing agency	82641.0	Washtenaw County Health Department, Michigan
00028	Analyzing agency	82810.0	University of Southern Mississippi
00028	Analyzing agency	82901.0	Univ. of Missouri Environmental Trace Substances Lab
00028	Analyzing agency	82902.0	Severn-Trent Laboratory - St. Louis: Earth City, MO
00028	Analyzing agency	82913.0	District Water-Quality Lab, Rolla, Missouri
00028	Analyzing agency	82915.0	Sediment Analysis Lab, USGS, Rolla, Missouri
00028	Analyzing agency	83003.0	Billings Area Indian Health Service - Billings, MT
00028	Analyzing agency	83005.0	Env Bio-Geo Chem Lab, Dept of Geol, U of MT, Missoula, MT
00028	Analyzing agency	83011.0	MT Department of Environmental Quality
00028	Analyzing agency	83015.0	Sediment Analysis Lab, USGS, Helena, Montana
00028	Analyzing agency	83101.0	Harris Laboratories, Lincoln, Nebraska
00028	Analyzing agency	83105.0	Olsen's Agricultrual Laboratory, Inc., McCook, NE
00028	Analyzing agency	83107.0	University of Nebraska, Limnology Laboratory, Lincoln, NE
00028	Analyzing agency	83109.0	Univ of Nebraska, Water Sciences Lab, Lincoln, NE
00028	Analyzing agency	83113.0	District Water-Quality Lab, Lincoln, Nebraska
00028	Analyzing agency	83241.0	Sierra Environmental Monitoring Service, Nevada
00028	Analyzing agency	83341.0	Water Supply & Pollution Control Comm. Lab., NH
